Latitude;Longitude;Date;Source;Channel;Category;Merchants;Cards;Txs;Avg. amount;Max. amount;Min. amount;Std. amount;Peak day;Valley day;Peak hour;Valley hour
40,475;-3,835;2015-10;foreign;bbva_pos;es_travel;;;;;;;;;;;
40,475;-3,835;2015-10;foreign;bbva_pos;es_travelweb;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_travelweb;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_beauty;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_restaurant;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_techsme;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_others;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_homesme;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_pharmacy;;;;;;;;;;;
40,475;-3,835;2015-10;national;bbva_pos;es_travelweb;;;;;;;;;;;
40,475;-3,835;2015-10;national;bbva_pos;es_travel;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;all;9;150;171;87,20398;1361,86;5,63;140,8;wednesday;monday;16;22
40,475;-3,835;2015-10;bbva;pos;es_travelweb;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_techsme;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_restaurant;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_others;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_homesme;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_beauty;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_pharmacy;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;all;8;102;120;100,40633;1361,86;5,63;163,94;saturday;sunday;16;8
40,475;-3,835;2015-10;all;pos;es_tech;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_home;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_barsandrestaurants;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_health;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_travel;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_wellnessandbeauty;;;;;;;;;;;
40,475;-3,835;2015-10;all;pos;es_otherservices;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_health;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_home;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_barsandrestaurants;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_tech;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_wellnessandbeauty;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_otherservices;;;;;;;;;;;
40,475;-3,835;2015-10;bbva;pos;es_travel;;;;;;;;;;;
40,475;-3,835;2015-10;national;bbva_pos;all;;;;;;;;;;;
40,475;-3,835;2015-10;foreign;bbva_pos;all;;;;;;;;;;;
40,39;-3,83;2015-10;all;pos;es_car;;;;;;;;;;;
40,39;-3,83;2015-10;all;pos;es_foodsme;;;;;;;;;;;
40,39;-3,83;2015-10;all;pos;es_fastfood;;;;;;;;;;;
40,39;-3,83;2015-10;national;bbva_pos;es_fastfood;;;;;;;;;;;
