Latitude;Longitude;Date;Source;Channel;Merchants;Cards;Txs;Avg. amount;Category level;Category;Merchants by category;Cards by category;Txs by category;Avg. amount by category
40,475;-3,835;2015-10;all;pos;9;150;171;87,20398;subcategories;filtered;;;171;87,20398
40,475;-3,835;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,475;-3,835;2015-10;bbva;pos;8;102;120;100,40633;subcategories;filtered;;;120;100,40634
40,475;-3,835;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,39;-3,83;2015-10;all;pos;;;;;subcategories;filtered;;;16;182,88563
40,39;-3,83;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,39;-3,83;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,83;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,83;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,825;2015-10;all;pos;;;;;subcategories;filtered;;;130;35,60677
40,47;-3,825;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,47;-3,825;2015-10;bbva;pos;;;;;subcategories;filtered;;;130;35,60677
40,475;-3,825;2015-10;all;pos;;;;;subcategories;filtered;;;35;37,75514
40,475;-3,825;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,475;-3,825;2015-10;bbva;pos;;;;;subcategories;;;;;
40,47;-3,82;2015-10;all;pos;;;;;subcategories;filtered;;;621;47,11417
40,47;-3,82;2015-10;bbva;pos;;;;;subcategories;filtered;;;621;47,11417
40,465;-3,815;2015-10;all;pos;15;216;248;159,13;subcategories;filtered;;;248;159,13
40,465;-3,815;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,815;2015-10;bbva;pos;14;215;247;158,97049;subcategories;filtered;;;247;158,97049
40,465;-3,81;2015-10;all;pos;6;67;137;32,93752;subcategories;filtered;;;137;32,93752
40,465;-3,81;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,81;2015-10;bbva;pos;6;66;136;32,81875;subcategories;filtered;;;136;32,81875
40,465;-3,81;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,81;2015-10;all;pos;;;;;subcategories;filtered;;;73;25,20151
40,47;-3,81;2015-10;bbva;pos;;;;;subcategories;filtered;;;73;25,20151
40,465;-3,805;2015-10;all;pos;;;;;subcategories;filtered;;;533;12,20412
40,465;-3,805;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,465;-3,805;2015-10;bbva;pos;;;;;subcategories;filtered;;;502;12,12109
40,465;-3,805;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,47;-3,805;2015-10;all;pos;;;;;subcategories;;;;;
40,47;-3,805;2015-10;bbva;pos;;;;;subcategories;;;;;
40,365;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,365;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,37;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,37;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,46;-3,8;2015-10;all;pos;;;;;subcategories;;;;;
40,46;-3,8;2015-10;bbva;pos;;;;;subcategories;;;;;
40,465;-3,8;2015-10;all;pos;12;880;2258;18,033;subcategories;filtered;;;2258;18,033
40,465;-3,8;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;2035;9,38572
40,465;-3,8;2015-10;bbva;pos;;;;;subcategories;filtered;;;329;69,93231
40,465;-3,8;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;13;22,76154
40,47;-3,8;2015-10;all;pos;;;;;subcategories;filtered;;;849;7,42297
40,47;-3,8;2015-10;national;bbva_pos;;;;;subcategories;;;;;
40,47;-3,8;2015-10;bbva;pos;;;;;subcategories;filtered;;;114;9,54219
40,47;-3,8;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,38;-3,795;2015-10;all;pos;12;275;571;31,78501;subcategories;filtered;;;571;31,78501
40,38;-3,795;2015-10;national;bbva_pos;;;;;subcategories;filtered;;;78;58,5291
40,38;-3,795;2015-10;bbva;pos;;;;;subcategories;filtered;;;504;28,59228
40,38;-3,795;2015-10;foreign;bbva_pos;;;;;subcategories;;;;;
40,465;-3,795;2015-10;all;pos;18;1527;2467;32,422;subcategories;es_restaurant;5;340;417;39,17149
40,465;-3,795;2015-10;all;pos;18;1527;2467;32,422;subcategories;filtered;;;2050;31,04905
40,465;-3,795;2015-10;national;bbva_pos;5;767;933;40,4069;subcategories;filtered;;;933;40,4069
40,465;-3,795;2015-10;bbva;pos;18;919;1729;31,23861;subcategories;filtered;;;1729;31,2386
40,465;-3,795;2015-10;foreign;bbva_pos;;;;;subcategories;filtered;;;17;48,28177
40,38;-3,79;2015-10;all;pos;;;;;subcategories;;;;;
40,38;-3,79;2015-10;bbva;pos;;;;;subcategories;;;;;
40,45;-3,79;2015-10;all;pos;;;;;subcategories;filtered;;;20;48,156
40,45;-3,79;2015-10;bbva;pos;;;;;subcategories;filtered;;;20;48,156
40,455;-3,79;2015-10;all;pos;;;;;subcategories;;;;;
40,455;-3,79;2015-10;bbva;pos;;;;;subcategories;;;;;
